passo,horario,temp_real,setpoint,acao,recompensa
1,19:46:39,20.94,25.0,0.843,-4.06
2,19:46:40,20.96,25.0,0.845,-4.04
3,19:46:41,20.96,25.0,0.844,-4.04
4,19:46:42,20.96,25.0,0.844,-4.04
5,19:46:43,20.97,25.0,0.844,-4.03
6,19:46:43,20.99,25.0,0.843,-4.01
7,19:46:44,21.04,25.0,0.841,-3.96
8,19:46:45,21.11,25.0,0.836,-3.89
9,19:46:46,21.17,25.0,0.83,-3.83
10,19:46:47,21.31,25.0,0.824,-3.69
11,19:46:48,21.46,25.0,0.811,-3.54
12,19:46:49,21.64,25.0,0.796,-3.36
13,19:46:50,21.8,25.0,0.778,-3.2
14,19:46:51,22.0,25.0,0.762,-3.0
15,19:46:52,22.21,25.0,0.742,-2.79
16,19:46:53,22.44,25.0,0.72,-2.56
17,19:46:54,22.69,25.0,0.696,-2.31
18,19:46:55,22.99,25.0,0.669,-2.01
19,19:46:56,23.22,25.0,0.637,-1.78
20,19:46:57,23.52,95.0,1.0,-71.48
21,19:46:58,23.82,95.0,1.0,-71.18
22,19:46:59,24.12,95.0,1.0,-70.88
23,19:47:00,24.39,95.0,1.0,-70.61
24,19:47:01,24.76,95.0,1.0,-70.24
25,19:47:02,25.08,95.0,1.0,-69.92
26,19:47:03,25.4,95.0,1.0,-69.6
27,19:47:04,25.77,95.0,1.0,-69.23
28,19:47:05,26.14,95.0,1.0,-68.86
29,19:47:06,26.55,95.0,1.0,-68.45
30,19:47:07,26.9,95.0,1.0,-68.1
31,19:47:08,27.31,95.0,1.0,-67.69
32,19:47:09,27.72,95.0,1.0,-67.28
33,19:47:10,28.12,95.0,1.0,-66.88
34,19:47:10,28.54,95.0,1.0,-66.46
35,19:47:12,29.03,95.0,1.0,-65.97
36,19:47:12,29.47,95.0,1.0,-65.53
37,19:47:13,29.97,95.0,1.0,-65.03
38,19:47:14,30.41,95.0,1.0,-64.59
39,19:47:16,30.97,95.0,1.0,-64.03
40,19:47:17,31.53,95.0,1.0,-63.47
41,19:47:18,32.03,95.0,1.0,-62.97
42,19:47:19,32.61,95.0,1.0,-62.39
43,19:47:20,33.09,95.0,1.0,-61.91
44,19:47:21,33.61,95.0,1.0,-61.39
45,19:47:22,34.09,95.0,1.0,-60.91
46,19:47:23,34.53,95.0,1.0,-60.47
47,19:47:24,35.06,95.0,1.0,-59.94
48,19:47:25,35.58,95.0,1.0,-59.42
49,19:47:26,36.03,95.0,1.0,-58.97
50,19:47:26,36.58,95.0,1.0,-58.42
51,19:47:27,37.03,95.0,1.0,-57.97
52,19:47:28,37.58,95.0,1.0,-57.42
53,19:47:29,38.06,95.0,1.0,-56.94
54,19:47:30,38.61,95.0,1.0,-56.39
55,19:47:31,39.09,95.0,1.0,-55.91
56,19:47:32,39.54,95.0,1.0,-55.46
57,19:47:33,40.09,95.0,1.0,-54.91
58,19:47:34,40.57,95.0,1.0,-54.43
59,19:47:35,41.09,95.0,1.0,-53.91
60,19:47:36,41.57,95.0,1.0,-53.43
61,19:47:37,42.05,95.0,1.0,-52.95
62,19:47:38,42.6,95.0,1.0,-52.4
63,19:47:39,43.08,95.0,1.0,-51.92
64,19:47:40,43.6,95.0,1.0,-51.4
65,19:47:41,44.1,95.0,1.0,-50.9
66,19:47:42,44.59,95.0,1.0,-50.41
67,19:47:43,45.11,95.0,1.0,-49.89
68,19:47:44,45.59,95.0,1.0,-49.41
69,19:47:45,46.09,95.0,1.0,-48.91
70,19:47:46,46.56,95.0,1.0,-48.44
71,19:47:47,47.03,95.0,1.0,-47.97
72,19:47:48,47.56,95.0,1.0,-47.44
73,19:47:48,48.03,95.0,1.0,-46.97
74,19:47:49,48.53,95.0,1.0,-46.47
75,19:47:50,49.0,95.0,1.0,-46.0
76,19:47:51,49.5,95.0,1.0,-45.5
77,19:47:52,49.97,95.0,1.0,-45.03
78,19:47:53,50.41,95.0,1.0,-44.59
79,19:47:54,50.91,95.0,1.0,-44.09
80,19:47:55,51.34,95.0,1.0,-43.66
81,19:47:56,51.84,95.0,1.0,-43.16
82,19:47:57,52.28,95.0,1.0,-42.72
83,19:47:58,52.72,95.0,1.0,-42.28
84,19:47:59,53.22,95.0,1.0,-41.78
85,19:48:00,53.66,95.0,1.0,-41.34
86,19:48:01,54.16,95.0,1.0,-40.84
87,19:48:02,54.59,95.0,1.0,-40.41
88,19:48:03,55.06,95.0,1.0,-39.94
89,19:48:04,55.49,95.0,1.0,-39.51
90,19:48:05,55.91,95.0,1.0,-39.09
91,19:48:06,56.4,95.0,1.0,-38.6
92,19:48:07,56.79,95.0,1.0,-38.21
