passo,horario,temp_real,setpoint,acao,recompensa
1,03:43:07,22.5,25.0,0.693,-2.5
2,03:43:09,22.5,25.0,0.693,-2.5
3,03:43:10,22.5,25.0,0.693,-2.5
4,03:43:12,22.5,25.0,0.693,-2.5
5,03:43:13,22.5,25.0,0.693,-2.5
6,03:43:15,22.54,25.0,0.693,-2.460000000000001
7,03:43:16,22.58,25.0,0.690,-2.4200000000000017
8,03:43:18,22.66,25.0,0.687,-2.34
9,03:43:19,22.74,25.0,0.680,-2.2600000000000016
10,03:43:21,22.85,25.0,0.673,-2.1499999999999986
11,03:43:22,22.92,25.0,0.663,-2.0799999999999983
12,03:43:24,23.06,25.0,0.656,-1.9400000000000013
13,03:43:25,23.25,25.0,0.644,-1.75
14,03:43:27,23.44,25.0,0.628,-1.5599999999999987
15,03:43:28,23.62,25.0,0.611,-1.379999999999999
16,03:43:30,23.85,25.0,0.594,-1.1499999999999986
17,03:43:31,24.1,25.0,0.573,-0.8999999999999986
18,03:43:33,24.31,25.0,0.550,-0.6900000000000013
19,03:43:34,24.56,25.0,0.530,-0.4400000000000013
20,03:43:36,24.83,25.0,0.506,-0.1700000000000017
21,03:43:37,25.1,95.0,0.482,-69.9
22,03:43:39,25.39,95.0,1.000,-69.61
23,03:43:40,25.67,95.0,1.000,-69.33
24,03:43:42,25.95,95.0,1.000,-69.05
25,03:43:43,26.24,95.0,1.000,-68.76
26,03:43:44,26.55,95.0,1.000,-68.45
27,03:43:46,26.89,95.0,1.000,-68.11
28,03:43:47,27.21,95.0,1.000,-67.78999999999999
29,03:43:49,27.56,95.0,1.000,-67.44
30,03:43:50,27.94,95.0,1.000,-67.06
31,03:43:52,28.34,95.0,1.000,-66.66
32,03:43:53,28.71,95.0,1.000,-66.28999999999999
33,03:43:55,29.1,95.0,1.000,-65.9
34,03:43:56,29.54,95.0,1.000,-65.46000000000001
35,03:43:58,29.98,95.0,1.000,-65.02
36,03:43:59,30.41,95.0,1.000,-64.59
37,03:44:01,30.86,95.0,1.000,-64.14
38,03:44:02,31.35,95.0,1.000,-63.65
39,03:44:04,31.83,95.0,1.000,-63.17
40,03:44:05,32.33,95.0,1.000,-62.67
41,03:44:07,32.81,95.0,1.000,-62.19
42,03:44:08,33.3,95.0,1.000,-61.7
43,03:44:10,33.83,95.0,1.000,-61.17
44,03:44:11,34.33,95.0,1.000,-60.67
45,03:44:13,34.84,95.0,1.000,-60.16
46,03:44:14,35.39,95.0,1.000,-59.61
47,03:44:16,35.89,95.0,1.000,-59.11
48,03:44:17,36.4,95.0,1.000,-58.6
49,03:44:19,36.95,95.0,1.000,-58.05
50,03:44:20,37.49,95.0,1.000,-57.51
51,03:44:22,38.01,95.0,1.000,-56.99
52,03:44:23,38.55,95.0,1.000,-56.45
53,03:44:25,39.09,95.0,1.000,-55.91
54,03:44:26,39.64,95.0,1.000,-55.36
