passo,temp_real,setpoint,acao,recompensa
1,40.91,25.0,0,-15.909999999999997
2,40.88,25.0,0,-15.880000000000003
3,40.84,25.0,0,-15.840000000000003
4,40.8,25.0,0,-15.799999999999997
5,40.75,25.0,0,-15.75
6,40.71,25.0,0,-15.71
7,40.64,25.0,0,-15.64
8,40.56,25.0,0,-15.560000000000002
9,40.51,25.0,0,-15.509999999999998
10,40.42,25.0,0,-15.420000000000002
11,40.33,25.0,0,-15.329999999999998
12,40.24,25.0,0,-15.240000000000002
13,40.15,25.0,0,-15.149999999999999
14,40.08,25.0,0,-15.079999999999998
15,39.94,25.0,0,-14.939999999999998
16,39.8,25.0,0,-14.799999999999997
17,39.72,25.0,0,-14.719999999999999
18,39.58,25.0,0,-14.579999999999998
19,39.45,25.0,0,-14.450000000000003
20,39.33,25.0,0,-14.329999999999998
21,39.2,25.0,0,-14.200000000000003
22,39.08,25.0,0,-14.079999999999998
23,38.95,25.0,0,-13.950000000000003
24,38.8,25.0,0,-13.799999999999997
25,38.66,25.0,1,-13.659999999999997
26,38.54,25.0,1,-13.54
27,38.39,25.0,1,-13.39
28,38.26,25.0,1,-13.259999999999998
29,38.13,25.0,1,-13.130000000000003
30,37.95,25.0,1,-12.950000000000003
31,37.83,95.0,1,-57.17
32,37.71,95.0,2,-57.29
33,37.61,95.0,2,-57.39
34,37.53,95.0,2,-57.47
35,37.45,95.0,2,-57.55
36,37.34,95.0,2,-57.66
37,37.31,95.0,2,-57.69
38,37.28,95.0,2,-57.72
39,37.26,95.0,2,-57.74
40,37.31,95.0,2,-57.69
41,37.36,95.0,2,-57.64
42,37.49,95.0,2,-57.51
43,37.61,95.0,2,-57.39
44,37.78,95.0,2,-57.22
45,37.97,95.0,2,-57.03
46,38.22,95.0,2,-56.78
47,38.47,95.0,2,-56.53
48,38.72,95.0,2,-56.28
49,39.01,95.0,2,-55.99
50,39.3,95.0,2,-55.7
51,39.65,95.0,2,-55.35
52,40.03,95.0,2,-54.97
53,40.4,95.0,2,-54.6
54,40.79,95.0,2,-54.21
