passo,horario,temp_real,setpoint,acao,recompensa
1,19:08:07,24.37,25.0,1.000,-0.629999999999999
2,19:08:09,24.37,25.0,1.000,-0.629999999999999
3,19:08:10,24.37,25.0,1.000,-0.629999999999999
4,19:08:12,24.37,25.0,1.000,-0.629999999999999
5,19:08:13,24.37,25.0,1.000,-0.629999999999999
6,19:08:15,24.41,25.0,1.000,-0.5899999999999999
7,19:08:16,24.44,25.0,1.000,-0.5599999999999987
8,19:08:18,24.48,25.0,1.000,-0.5199999999999996
9,19:08:19,24.51,25.0,1.000,-0.48999999999999844
10,19:08:21,24.6,25.0,1.000,-0.3999999999999986
11,19:08:22,24.64,25.0,1.000,-0.35999999999999943
12,19:08:24,24.74,25.0,1.000,-0.26000000000000156
13,19:08:25,24.83,25.0,1.000,-0.1700000000000017
14,19:08:27,24.92,25.0,1.000,-0.0799999999999983
15,19:08:28,25.05,25.0,1.000,-0.05000000000000071
16,19:08:30,25.17,25.0,1.000,-0.1700000000000017
17,19:08:31,25.3,25.0,1.000,-0.3000000000000007
18,19:08:32,25.42,25.0,1.000,-0.4200000000000017
19,19:08:34,25.59,25.0,1.000,-0.5899999999999999
20,19:08:35,25.74,25.0,1.000,-0.7399999999999984
21,19:08:37,25.86,95.0,1.000,-69.14
22,19:08:38,26.02,95.0,1.000,-68.98
23,19:08:40,26.17,95.0,1.000,-68.83
24,19:08:41,26.34,95.0,1.000,-68.66
25,19:08:43,26.54,95.0,1.000,-68.46000000000001
26,19:08:44,26.79,95.0,1.000,-68.21000000000001
27,19:08:46,27.09,95.0,1.000,-67.91
28,19:08:47,27.45,95.0,1.000,-67.55
29,19:08:49,27.81,95.0,1.000,-67.19
30,19:08:50,28.26,95.0,1.000,-66.74
31,19:08:52,28.76,95.0,1.000,-66.24
32,19:08:53,29.27,95.0,1.000,-65.73
33,19:08:55,29.84,95.0,1.000,-65.16
34,19:08:56,30.44,95.0,1.000,-64.56
35,19:08:58,31.04,95.0,1.000,-63.96
36,19:08:59,31.69,95.0,1.000,-63.31
37,19:09:01,32.33,95.0,1.000,-62.67
38,19:09:02,33.01,95.0,1.000,-61.99
39,19:09:04,33.7,95.0,1.000,-61.3
40,19:09:05,34.42,95.0,1.000,-60.58
41,19:09:07,35.17,95.0,1.000,-59.83
42,19:09:08,35.91,95.0,1.000,-59.09
43,19:09:10,36.61,95.0,1.000,-58.39
44,19:09:11,37.38,95.0,1.000,-57.62
45,19:09:13,38.17,95.0,1.000,-56.83
46,19:09:14,38.92,95.0,1.000,-56.08
47,19:09:16,39.7,95.0,1.000,-55.3
48,19:09:17,40.46,95.0,1.000,-54.54
49,19:09:18,41.25,95.0,1.000,-53.75
50,19:09:20,42.05,95.0,1.000,-52.95
51,19:09:21,42.84,95.0,1.000,-52.16
52,19:09:23,43.63,95.0,1.000,-51.37
53,19:09:24,44.42,95.0,1.000,-50.58
54,19:09:26,45.19,95.0,1.000,-49.81
55,19:09:27,45.99,95.0,1.000,-49.01
56,19:09:29,46.78,95.0,1.000,-48.22
57,19:09:30,47.55,95.0,1.000,-47.45
58,19:09:32,48.3,95.0,1.000,-46.7
59,19:09:33,49.06,95.0,1.000,-45.94
60,19:09:35,49.86,95.0,1.000,-45.14
61,19:09:36,50.61,95.0,1.000,-44.39
62,19:09:38,51.36,95.0,1.000,-43.64
63,19:09:39,52.14,95.0,1.000,-42.86
64,19:09:41,52.9,95.0,1.000,-42.1
65,19:09:42,53.67,95.0,1.000,-41.33
66,19:09:44,54.42,95.0,1.000,-40.58
67,19:09:45,55.15,95.0,1.000,-39.85
68,19:09:47,55.9,95.0,1.000,-39.1
69,19:09:48,56.66,95.0,1.000,-38.34
70,19:09:49,57.35,95.0,1.000,-37.65
71,19:09:51,58.05,95.0,1.000,-36.95
72,19:09:52,58.8,95.0,1.000,-36.2
73,19:09:54,59.5,95.0,1.000,-35.5
74,19:09:55,60.2,95.0,1.000,-34.8
75,19:09:57,60.91,95.0,1.000,-34.09
76,19:09:58,61.6,95.0,1.000,-33.4
77,19:10:00,62.25,95.0,1.000,-32.75
78,19:10:01,62.92,95.0,1.000,-32.08
79,19:10:03,63.66,95.0,1.000,-31.340000000000003
80,19:10:04,64.31,95.0,1.000,-30.689999999999998
81,19:10:06,64.97,95.0,1.000,-30.03
82,19:10:07,65.62,95.0,1.000,-29.379999999999995
83,19:10:09,66.28,95.0,1.000,-28.72
84,19:10:10,66.91,95.0,1.000,-28.090000000000003
85,19:10:12,67.56,95.0,1.000,-27.439999999999998
86,19:10:13,68.19,95.0,1.000,-26.810000000000002
87,19:10:14,68.81,95.0,1.000,-26.189999999999998
88,19:10:16,69.44,95.0,1.000,-25.560000000000002
89,19:10:17,70.04,95.0,1.000,-24.959999999999994
90,19:10:19,70.68,95.0,1.000,-24.319999999999993
91,19:10:20,71.25,95.0,1.000,-23.75
92,19:10:22,71.85,95.0,1.000,-23.150000000000006
93,19:10:23,72.46,95.0,1.000,-22.540000000000006
94,19:10:25,73.05,95.0,1.000,-21.950000000000003
95,19:10:26,73.61,95.0,1.000,-21.39
96,19:10:28,74.19,95.0,1.000,-20.810000000000002
97,19:10:29,74.76,95.0,1.000,-20.239999999999995
98,19:10:31,75.3,95.0,1.000,-19.700000000000003
99,19:10:32,75.86,95.0,1.000,-19.14
100,19:10:34,76.4,95.0,1.000,-18.599999999999994
101,19:10:35,76.96,95.0,1.000,-18.040000000000006
102,19:10:36,77.51,95.0,1.000,-17.489999999999995
103,19:10:38,78.04,95.0,1.000,-16.959999999999994
104,19:10:39,78.51,95.0,1.000,-16.489999999999995
105,19:10:41,79.03,95.0,1.000,-15.969999999999999
106,19:10:42,79.55,95.0,1.000,-15.450000000000003
107,19:10:44,80.06,95.0,1.000,-14.939999999999998
108,19:10:45,80.51,95.0,1.000,-14.489999999999995
109,19:10:47,81.01,95.0,1.000,-13.989999999999995
110,19:10:48,81.51,95.0,1.000,-13.489999999999995
111,19:10:50,82.0,95.0,1.000,-13.0
112,19:10:51,82.45,95.0,1.000,-12.549999999999997
113,19:10:53,82.91,95.0,1.000,-12.090000000000003
114,19:10:54,83.39,95.0,1.000,-11.61
115,19:10:55,83.85,95.0,1.000,-11.150000000000006
116,19:10:57,84.32,95.0,1.000,-10.680000000000007
117,19:10:58,84.78,95.0,1.000,-10.219999999999999
118,19:11:00,85.22,95.0,1.000,-9.780000000000001
119,19:11:01,85.7,95.0,1.000,-9.299999999999997
120,19:11:03,86.16,95.0,1.000,-8.840000000000003
121,19:11:04,86.6,95.0,1.000,-8.400000000000006
122,19:11:06,87.06,95.0,1.000,-7.939999999999998
123,19:11:07,87.5,95.0,1.000,-7.5
124,19:11:09,87.91,95.0,1.000,-7.090000000000003
125,19:11:10,88.34,95.0,1.000,-6.659999999999997
126,19:11:12,88.76,95.0,1.000,-6.239999999999995
127,19:11:13,89.21,95.0,1.000,-5.790000000000006
128,19:11:14,89.6,95.0,1.000,-5.400000000000006
129,19:11:16,90.03,95.0,1.000,-4.969999999999999
130,19:11:17,90.44,95.0,1.000,-4.560000000000002
131,19:11:19,90.85,95.0,1.000,-4.150000000000006
132,19:11:20,91.28,95.0,1.000,-3.719999999999999
133,19:11:22,91.66,95.0,1.000,-3.3400000000000034
