passo,horario,temp_real,setpoint,acao,recompensa
1,07:22:28,22.25,25.0,0.006,-2.75
2,07:22:29,22.25,25.0,0.006,-2.75
3,07:22:29,22.25,25.0,0.006,-2.75
4,07:22:30,22.25,25.0,0.006,-2.75
5,07:22:31,22.25,25.0,0.006,-2.75
6,07:22:32,22.25,25.0,0.006,-2.75
7,07:22:33,22.25,25.0,0.006,-2.75
8,07:22:34,22.25,25.0,0.006,-2.75
9,07:22:35,22.25,25.0,0.006,-2.75
10,07:22:36,22.25,25.0,0.006,-2.75
11,07:22:37,22.25,25.0,0.006,-2.75
12,07:22:38,22.25,25.0,0.006,-2.75
13,07:22:39,22.25,25.0,0.006,-2.75
14,07:22:40,22.25,25.0,0.006,-2.75
15,07:22:41,22.25,25.0,0.006,-2.75
16,07:22:42,22.25,25.0,0.006,-2.75
17,07:22:43,22.25,25.0,0.006,-2.75
18,07:22:44,22.25,25.0,0.006,-2.75
19,07:22:45,22.28,25.0,0.006,-2.72
20,07:22:46,22.27,95.0,0.004,-72.73
21,07:22:47,22.28,95.0,1.0,-72.72
22,07:22:48,22.27,95.0,1.0,-72.73
23,07:22:49,22.25,95.0,1.0,-72.75
24,07:22:50,22.29,95.0,1.0,-72.71
25,07:22:51,22.31,95.0,1.0,-72.69
26,07:22:52,22.33,95.0,1.0,-72.67
27,07:22:52,22.39,95.0,1.0,-72.61
28,07:22:53,22.45,95.0,1.0,-72.55
29,07:22:54,22.54,95.0,1.0,-72.46
30,07:22:55,22.71,95.0,1.0,-72.29
31,07:22:56,22.86,95.0,1.0,-72.14
32,07:22:57,23.03,95.0,1.0,-71.97
33,07:22:58,23.28,95.0,1.0,-71.72
34,07:22:59,23.5,95.0,1.0,-71.5
35,07:23:00,23.72,95.0,1.0,-71.28
36,07:23:01,24.01,95.0,1.0,-70.99
37,07:23:02,24.32,95.0,1.0,-70.68
38,07:23:03,24.64,95.0,1.0,-70.36
39,07:23:04,24.96,95.0,1.0,-70.04
40,07:23:05,25.28,95.0,1.0,-69.72
41,07:23:06,25.65,95.0,1.0,-69.35
42,07:23:07,26.0,95.0,1.0,-69.0
43,07:23:08,26.45,95.0,1.0,-68.55
44,07:23:09,26.84,95.0,1.0,-68.16
45,07:23:10,27.23,95.0,1.0,-67.77
46,07:23:11,27.66,95.0,1.0,-67.34
47,07:23:12,28.06,95.0,1.0,-66.94
48,07:23:13,28.56,95.0,1.0,-66.44
49,07:23:13,28.97,95.0,1.0,-66.03
50,07:23:14,29.41,95.0,1.0,-65.59
51,07:23:15,29.91,95.0,1.0,-65.09
52,07:23:16,30.34,95.0,1.0,-64.66
53,07:23:17,30.89,95.0,1.0,-64.11
54,07:23:18,31.34,95.0,1.0,-63.66
55,07:23:19,31.79,95.0,1.0,-63.21
56,07:23:20,32.34,95.0,1.0,-62.66
57,07:23:21,32.82,95.0,1.0,-62.18
58,07:23:22,33.37,95.0,1.0,-61.63
59,07:23:23,33.84,95.0,1.0,-61.16
60,07:23:24,34.3,95.0,1.0,-60.7
61,07:23:25,34.85,95.0,1.0,-60.15
62,07:23:26,35.35,95.0,1.0,-59.65
63,07:23:27,35.94,95.0,1.0,-59.06
64,07:23:28,36.41,95.0,1.0,-58.59
65,07:23:29,36.88,95.0,1.0,-58.12
66,07:23:30,37.47,95.0,1.0,-57.53
67,07:23:31,37.97,95.0,1.0,-57.03
68,07:23:32,38.54,95.0,1.0,-56.46
69,07:23:33,39.03,95.0,1.0,-55.97
70,07:23:34,39.53,95.0,1.0,-55.47
71,07:23:34,40.09,95.0,1.0,-54.91
72,07:23:35,40.59,95.0,1.0,-54.41
73,07:23:36,41.19,95.0,1.0,-53.81
74,07:23:37,41.67,95.0,1.0,-53.33
75,07:23:38,42.17,95.0,1.0,-52.83
76,07:23:39,42.73,95.0,1.0,-52.27
77,07:23:40,43.24,95.0,1.0,-51.76
78,07:23:41,43.79,95.0,1.0,-51.21
79,07:23:42,44.3,95.0,1.0,-50.7
80,07:23:43,44.86,95.0,1.0,-50.14
81,07:23:44,45.36,95.0,1.0,-49.64
82,07:23:45,45.92,95.0,1.0,-49.08
83,07:23:46,46.42,95.0,1.0,-48.58
84,07:23:47,46.91,95.0,1.0,-48.09
85,07:23:48,47.46,95.0,1.0,-47.54
86,07:23:49,47.95,95.0,1.0,-47.05
87,07:23:50,48.53,95.0,1.0,-46.47
88,07:23:51,49.01,95.0,1.0,-45.99
89,07:23:52,49.47,95.0,1.0,-45.53
90,07:23:53,50.01,95.0,1.0,-44.99
