passo,temp_real,setpoint,acao,recompensa
1,21.31,25.0,2,-3.6900000000000013
2,21.31,25.0,2,-3.6900000000000013
3,21.31,25.0,2,-3.6900000000000013
4,21.31,25.0,2,-3.6900000000000013
5,21.31,25.0,2,-3.6900000000000013
6,21.31,25.0,2,-3.6900000000000013
7,21.31,25.0,2,-3.6900000000000013
8,21.31,25.0,2,-3.6900000000000013
9,21.31,25.0,2,-3.6900000000000013
10,21.31,25.0,2,-3.6900000000000013
11,21.29,95.0,2,-73.71000000000001
12,21.33,95.0,2,-73.67
13,21.34,95.0,2,-73.66
14,21.31,95.0,2,-73.69
15,21.31,95.0,2,-73.69
16,21.31,95.0,2,-73.69
17,21.31,95.0,2,-73.69
18,21.33,95.0,2,-73.67
19,21.34,95.0,2,-73.66
20,21.31,95.0,2,-73.69
21,21.31,95.0,2,-73.69
22,21.31,95.0,2,-73.69
23,21.34,95.0,2,-73.66
24,21.33,95.0,2,-73.67
25,21.34,95.0,2,-73.66
26,21.31,95.0,2,-73.69
27,21.31,95.0,2,-73.69
28,21.33,95.0,2,-73.67
29,21.34,95.0,2,-73.66
30,21.31,95.0,2,-73.69
31,21.33,55.0,2,-33.67
32,21.35,55.0,2,-33.65
33,21.35,55.0,2,-33.65
34,21.36,55.0,2,-33.64
35,21.34,55.0,2,-33.66
36,21.31,55.0,2,-33.69
37,21.33,55.0,2,-33.67
38,21.37,55.0,2,-33.629999999999995
39,21.36,55.0,2,-33.64
40,21.34,55.0,2,-33.66
41,21.35,55.0,2,-33.65
42,21.36,55.0,2,-33.64
43,21.35,55.0,2,-33.65
44,21.35,55.0,2,-33.65
45,21.34,55.0,2,-33.66
46,21.35,55.0,2,-33.65
47,21.37,55.0,2,-33.629999999999995
48,21.37,55.0,2,-33.629999999999995
49,21.39,55.0,2,-33.61
50,21.45,55.0,2,-33.55
51,21.51,72.0,2,-50.489999999999995
52,21.61,72.0,2,-50.39
53,21.77,72.0,2,-50.230000000000004
54,21.92,72.0,2,-50.08
55,22.1,72.0,2,-49.9
56,22.35,72.0,2,-49.65
57,22.6,72.0,2,-49.4
58,22.86,72.0,2,-49.14
59,23.17,72.0,2,-48.83
60,23.51,72.0,2,-48.489999999999995
61,23.83,72.0,2,-48.17
62,24.11,72.0,2,-47.89
63,24.41,72.0,2,-47.59
64,24.7,72.0,2,-47.3
65,24.98,72.0,2,-47.019999999999996
66,25.23,72.0,2,-46.769999999999996
67,25.48,72.0,2,-46.519999999999996
68,25.73,72.0,2,-46.269999999999996
69,25.94,72.0,2,-46.06
70,26.15,72.0,2,-45.85
71,26.34,95.0,2,-68.66
72,26.52,95.0,2,-68.48
73,26.71,95.0,2,-68.28999999999999
74,26.86,95.0,2,-68.14
75,27.02,95.0,2,-67.98
76,27.15,95.0,2,-67.85
77,27.3,95.0,2,-67.7
78,27.42,95.0,2,-67.58
79,27.54,95.0,2,-67.46000000000001
80,27.61,95.0,2,-67.39
81,27.73,95.0,2,-67.27
82,27.8,95.0,2,-67.2
83,27.89,95.0,2,-67.11
84,27.98,95.0,2,-67.02
85,28.04,95.0,2,-66.96000000000001
86,28.1,95.0,2,-66.9
87,28.12,95.0,2,-66.88
88,28.17,95.0,2,-66.83
89,28.25,95.0,2,-66.75
90,28.26,95.0,2,-66.74
91,28.31,55.0,2,-26.69
92,28.35,55.0,2,-26.65
93,28.37,55.0,2,-26.63
94,28.39,55.0,2,-26.61
95,28.44,55.0,2,-26.56
96,28.44,55.0,2,-26.56
97,28.44,55.0,2,-26.56
98,28.48,55.0,2,-26.52
99,28.49,55.0,2,-26.51
100,28.48,55.0,2,-26.52
101,28.5,55.0,2,-26.5
102,28.5,55.0,2,-26.5
103,28.5,55.0,2,-26.5
104,28.5,55.0,2,-26.5
105,28.5,55.0,2,-26.5
106,28.5,55.0,2,-26.5
107,28.5,55.0,2,-26.5
108,28.48,55.0,2,-26.52
109,28.46,55.0,2,-26.54
110,28.44,55.0,2,-26.56
111,28.44,72.0,2,-43.56
112,28.44,72.0,2,-43.56
113,28.44,72.0,2,-43.56
114,28.41,72.0,2,-43.59
115,28.4,72.0,2,-43.6
116,28.37,72.0,2,-43.629999999999995
117,28.37,72.0,2,-43.629999999999995
118,28.34,72.0,2,-43.66
119,28.31,72.0,2,-43.69
120,28.31,72.0,2,-43.69
121,28.29,72.0,2,-43.71
122,28.27,72.0,2,-43.730000000000004
123,28.25,72.0,2,-43.75
124,28.21,72.0,2,-43.79
125,28.21,72.0,2,-43.79
126,28.19,72.0,2,-43.81
127,28.16,72.0,2,-43.84
128,28.15,72.0,2,-43.85
129,28.12,72.0,2,-43.879999999999995
130,28.1,72.0,2,-43.9
