passo,horario,temp_real,setpoint,acao,recompensa
1,10:29:38,23.78,25.0,0.884,-1.22
2,10:29:39,23.8,25.0,0.883,-1.2
3,10:29:40,23.76,25.0,0.883,-1.24
4,10:29:41,23.8,25.0,0.884,-1.2
5,10:29:42,23.81,25.0,0.883,-1.19
6,10:29:43,23.86,25.0,0.883,-1.14
7,10:29:44,23.91,25.0,0.883,-1.09
8,10:29:45,23.96,25.0,0.883,-1.04
9,10:29:46,24.09,25.0,0.883,-0.91
10,10:29:47,24.19,25.0,0.882,-0.81
11,10:29:48,24.34,25.0,0.882,-0.66
12,10:29:49,24.49,25.0,0.882,-0.51
13,10:29:49,24.69,25.0,0.881,-0.31
14,10:29:50,24.92,25.0,0.0,-0.08
15,10:29:51,25.1,25.0,0.0,-0.1
16,10:29:52,25.36,25.0,0.0,-0.36
17,10:29:53,25.62,25.0,0.0,-0.62
18,10:29:54,25.87,25.0,-0.3,-0.87
19,10:29:55,26.12,25.0,-0.3,-1.12
20,10:29:56,26.37,95.0,1.0,-68.63
21,10:29:57,26.6,95.0,1.0,-68.4
22,10:29:58,26.81,95.0,1.0,-68.19
23,10:29:59,27.01,95.0,1.0,-67.99
24,10:30:00,27.25,95.0,1.0,-67.75
25,10:30:01,27.47,95.0,1.0,-67.53
26,10:30:02,27.75,95.0,1.0,-67.25
27,10:30:03,27.99,95.0,1.0,-67.01
28,10:30:04,28.25,95.0,1.0,-66.75
29,10:30:05,28.57,95.0,1.0,-66.43
30,10:30:06,28.84,95.0,1.0,-66.16
31,10:30:07,29.15,95.0,1.0,-65.85
32,10:30:08,29.5,95.0,1.0,-65.5
33,10:30:09,29.85,95.0,1.0,-65.15
34,10:30:10,30.25,95.0,1.0,-64.75
35,10:30:10,30.6,95.0,1.0,-64.4
36,10:30:11,30.95,95.0,1.0,-64.05
37,10:30:12,31.36,95.0,1.0,-63.64
38,10:30:13,31.76,95.0,1.0,-63.24
39,10:30:14,32.21,95.0,1.0,-62.79
40,10:30:15,32.6,95.0,1.0,-62.4
41,10:30:16,32.99,95.0,1.0,-62.01
42,10:30:17,33.47,95.0,1.0,-61.53
43,10:30:18,33.91,95.0,1.0,-61.09
44,10:30:19,34.38,95.0,1.0,-60.62
45,10:30:20,34.78,95.0,1.0,-60.22
46,10:30:21,35.24,95.0,1.0,-59.76
47,10:30:22,35.75,95.0,1.0,-59.25
48,10:30:23,36.19,95.0,1.0,-58.81
49,10:30:24,36.63,95.0,1.0,-58.37
50,10:30:25,37.16,95.0,1.0,-57.84
51,10:30:26,37.59,95.0,1.0,-57.41
52,10:30:27,38.11,95.0,1.0,-56.89
53,10:30:28,38.59,95.0,1.0,-56.41
54,10:30:29,39.03,95.0,1.0,-55.97
55,10:30:30,39.53,95.0,1.0,-55.47
56,10:30:30,40.01,95.0,1.0,-54.99
57,10:30:31,40.56,95.0,1.0,-54.44
58,10:30:32,41.03,95.0,1.0,-53.97
59,10:30:33,41.47,95.0,1.0,-53.53
60,10:30:34,42.01,95.0,1.0,-52.99
61,10:30:35,42.49,95.0,1.0,-52.51
62,10:30:36,43.03,95.0,1.0,-51.97
63,10:30:37,43.49,95.0,1.0,-51.51
64,10:30:38,43.97,95.0,1.0,-51.03
65,10:30:39,44.53,95.0,1.0,-50.47
66,10:30:40,44.97,95.0,1.0,-50.03
67,10:30:41,45.46,95.0,1.0,-49.54
68,10:30:42,45.97,95.0,1.0,-49.03
69,10:30:43,46.42,95.0,1.0,-48.58
70,10:30:44,46.97,95.0,1.0,-48.03
71,10:30:45,47.42,95.0,1.0,-47.58
72,10:30:46,47.91,95.0,1.0,-47.09
73,10:30:47,48.41,95.0,1.0,-46.59
74,10:30:48,48.88,95.0,1.0,-46.12
75,10:30:49,49.42,95.0,1.0,-45.58
76,10:30:50,49.88,95.0,1.0,-45.12
77,10:30:51,50.33,95.0,1.0,-44.67
78,10:30:51,50.84,95.0,1.0,-44.16
79,10:30:52,51.28,95.0,1.0,-43.72
80,10:30:53,51.81,95.0,1.0,-43.19
81,10:30:54,52.28,95.0,1.0,-42.72
82,10:30:55,52.72,95.0,1.0,-42.28
83,10:30:56,53.22,95.0,1.0,-41.78
84,10:30:57,53.66,95.0,1.0,-41.34
85,10:30:58,54.09,95.0,1.0,-40.91
86,10:30:59,54.59,95.0,1.0,-40.41
87,10:31:00,55.03,95.0,1.0,-39.97
88,10:31:01,55.53,95.0,1.0,-39.47
89,10:31:02,55.97,95.0,1.0,-39.03
90,10:31:03,56.41,95.0,1.0,-38.59
91,10:31:04,56.87,95.0,1.0,-38.13
92,10:31:05,57.28,95.0,1.0,-37.72
93,10:31:06,57.78,95.0,1.0,-37.22
94,10:31:07,58.2,95.0,1.0,-36.8
95,10:31:08,58.59,95.0,1.0,-36.41
96,10:31:09,59.08,95.0,1.0,-35.92
97,10:31:10,59.47,95.0,1.0,-35.53
98,10:31:11,59.92,95.0,1.0,-35.08
99,10:31:11,60.31,95.0,1.0,-34.69
100,10:31:12,60.72,95.0,1.0,-34.28
101,10:31:13,61.19,95.0,1.0,-33.81
102,10:31:14,61.55,95.0,1.0,-33.45
103,10:31:15,62.03,95.0,1.0,-32.97
104,10:31:16,62.41,95.0,1.0,-32.59
105,10:31:17,62.79,95.0,1.0,-32.21
106,10:31:18,63.22,95.0,1.0,-31.78
107,10:31:19,63.6,95.0,1.0,-31.4
108,10:31:20,64.04,95.0,1.0,-30.96
109,10:31:21,64.41,95.0,1.0,-30.59
110,10:31:22,64.8,95.0,1.0,-30.2
111,10:31:23,65.2,95.0,1.0,-29.8
112,10:31:24,65.59,95.0,1.0,-29.41
113,10:31:25,65.96,95.0,1.0,-29.04
114,10:31:26,66.36,95.0,1.0,-28.64
115,10:31:27,66.71,95.0,1.0,-28.29
116,10:31:28,67.11,95.0,1.0,-27.89
117,10:31:29,67.46,95.0,1.0,-27.54
118,10:31:30,67.81,95.0,1.0,-27.19
119,10:31:31,68.24,95.0,1.0,-26.76
120,10:31:32,68.56,95.0,1.0,-26.44
121,10:31:32,68.96,95.0,1.0,-26.04
122,10:31:33,69.31,95.0,1.0,-25.69
123,10:31:34,69.66,95.0,1.0,-25.34
124,10:31:35,70.03,95.0,1.0,-24.97
125,10:31:36,70.35,95.0,1.0,-24.65
126,10:31:37,70.75,95.0,1.0,-24.25
127,10:31:38,71.09,95.0,1.0,-23.91
128,10:31:39,71.39,95.0,1.0,-23.61
129,10:31:40,71.78,95.0,1.0,-23.22
130,10:31:41,72.08,95.0,1.0,-22.92
131,10:31:42,72.42,95.0,1.0,-22.58
132,10:31:43,72.77,95.0,1.0,-22.23
133,10:31:44,73.11,95.0,1.0,-21.89
134,10:31:45,73.43,95.0,1.0,-21.57
135,10:31:46,73.73,95.0,1.0,-21.27
136,10:31:47,74.04,95.0,1.0,-20.96
137,10:31:48,74.38,95.0,1.0,-20.62
138,10:31:49,74.66,95.0,1.0,-20.34
139,10:31:50,75.01,95.0,1.0,-19.99
140,10:31:51,75.32,55.0,-0.5,-20.32
141,10:31:52,75.59,55.0,-0.5,-20.59
142,10:31:52,75.94,55.0,-0.5,-20.94
143,10:31:53,76.22,55.0,-0.5,-21.22
144,10:31:54,76.52,55.0,-0.5,-21.52
145,10:31:55,76.78,55.0,-0.5,-21.78
146,10:31:56,77.0,55.0,-0.5,-22.0
147,10:31:57,77.25,55.0,-0.5,-22.25
148,10:31:58,77.41,55.0,-0.5,-22.41
149,10:31:59,77.54,55.0,-0.5,-22.54
150,10:32:00,77.72,55.0,-0.5,-22.72
151,10:32:01,77.83,55.0,-0.5,-22.83
152,10:32:02,77.92,55.0,-0.5,-22.92
153,10:32:03,77.96,55.0,-0.5,-22.96
154,10:32:04,7.0,55.0,-0.5,-48.0
155,10:32:05,78.06,55.0,1.0,-23.06
156,10:32:06,78.06,55.0,-0.5,-23.06
157,10:32:07,78.06,55.0,-0.5,-23.06
158,10:32:08,78.03,55.0,-0.5,-23.03
159,10:32:09,78.03,55.0,-0.5,-23.03
160,10:32:10,77.96,55.0,-0.5,-22.96
161,10:32:11,77.91,55.0,-0.5,-22.91
162,10:32:12,77.84,55.0,-0.5,-22.84
163,10:32:13,77.79,55.0,-0.5,-22.79
164,10:32:14,77.7,55.0,-0.5,-22.7
165,10:32:14,77.57,55.0,-0.5,-22.57
166,10:32:15,77.45,55.0,0.0,-22.45
167,10:32:16,77.3,55.0,0.0,-22.3
168,10:32:17,77.14,55.0,0.0,-22.14
169,10:32:18,77.04,55.0,0.0,-22.04
170,10:32:19,76.87,55.0,-0.5,-21.87
171,10:32:20,76.72,55.0,0.0,-21.72
172,10:32:21,76.56,55.0,0.0,-21.56
173,10:32:22,76.39,55.0,0.0,-21.39
174,10:32:23,76.19,55.0,0.0,-21.19
175,10:32:24,76.0,55.0,0.0,-21.0
176,10:32:25,75.75,55.0,0.0,-20.75
177,10:32:26,75.57,55.0,0.0,-20.57
178,10:32:27,75.4,55.0,0.0,-20.4
179,10:32:28,75.16,55.0,0.0,-20.16
180,10:32:29,74.96,55.0,0.0,-19.96
181,10:32:30,74.75,55.0,0.0,-19.75
182,10:32:31,74.53,55.0,0.0,-19.53
183,10:32:32,74.31,55.0,0.0,-19.31
184,10:32:33,74.09,55.0,0.0,-19.09
185,10:32:34,73.87,55.0,0.0,-18.87
186,10:32:35,73.62,55.0,0.0,-18.62
187,10:32:35,73.37,55.0,0.0,-18.37
188,10:32:36,73.18,55.0,0.0,-18.18
189,10:32:37,72.94,55.0,0.0,-17.94
190,10:32:38,72.72,55.0,0.0,-17.72
191,10:32:39,72.44,55.0,0.0,-17.44
192,10:32:40,72.22,55.0,0.0,-17.22
193,10:32:41,72.0,55.0,0.0,-17.0
194,10:32:42,71.73,55.0,0.0,-16.73
195,10:32:43,71.5,55.0,0.0,-16.5
196,10:32:44,71.27,55.0,0.0,-16.27
197,10:32:45,71.0,55.0,0.0,-16.0
198,10:32:46,70.77,55.0,0.0,-15.77
199,10:32:47,70.5,55.0,0.0,-15.5
200,10:32:48,70.27,55.0,0.0,-15.27
201,10:32:49,70.03,55.0,0.0,-15.03
202,10:32:50,69.77,55.0,0.0,-14.77
203,10:32:51,69.51,55.0,0.0,-14.51
204,10:32:52,69.25,55.0,0.0,-14.25
205,10:32:53,69.03,55.0,0.0,-14.03
206,10:32:54,68.78,55.0,0.0,-13.78
207,10:32:55,68.5,55.0,0.0,-13.5
208,10:32:55,68.28,55.0,0.0,-13.28
209,10:32:56,68.04,55.0,0.0,-13.04
210,10:32:57,67.78,55.0,0.0,-12.78
211,10:32:58,67.54,55.0,0.0,-12.54
212,10:32:59,67.25,55.0,0.0,-12.25
213,10:33:00,67.03,55.0,0.0,-12.03
214,10:33:01,66.81,55.0,0.0,-11.81
215,10:33:02,66.54,55.0,0.0,-11.54
216,10:33:03,66.31,55.0,0.0,-11.31
217,10:33:04,66.04,55.0,0.0,-11.04
218,10:33:05,65.81,55.0,0.0,-10.81
219,10:33:06,65.56,55.0,0.0,-10.56
220,10:33:07,65.34,55.0,0.0,-10.34
221,10:33:08,65.06,55.0,0.0,-10.06
222,10:33:09,64.84,55.0,0.0,-9.84
223,10:33:10,64.59,55.0,0.0,-9.59
224,10:33:11,64.34,55.0,0.0,-9.34
225,10:33:12,64.09,55.0,0.0,-9.09
226,10:33:13,63.0,55.0,0.0,-8.0
227,10:33:14,63.63,55.0,0.0,-8.63
228,10:33:15,63.38,55.0,-0.5,-8.38
229,10:33:16,63.14,55.0,0.0,-8.14
230,10:33:17,62.94,55.0,0.0,-7.94
231,10:33:17,62.69,55.0,0.0,-7.69
232,10:33:18,62.47,55.0,0.0,-7.47
233,10:33:19,62.25,55.0,0.0,-7.25
234,10:33:20,62.0,55.0,0.0,-7.0
235,10:33:21,61.75,55.0,0.0,-6.75
236,10:33:22,61.53,55.0,0.0,-6.53
237,10:33:23,61.31,55.0,0.0,-6.31
238,10:33:24,61.09,55.0,0.0,-6.09
239,10:33:25,60.85,55.0,0.0,-5.85
240,10:33:26,60.66,55.0,0.0,-5.66
241,10:33:27,60.44,55.0,0.0,-5.44
242,10:33:28,60.19,55.0,0.0,-5.19
243,10:33:29,60.0,55.0,0.0,-5.0
244,10:33:30,59.75,55.0,0.0,-4.75
245,10:33:31,59.53,55.0,0.0,-4.53
246,10:33:32,59.33,55.0,0.0,-4.33
247,10:33:33,59.13,55.0,0.0,-4.13
248,10:33:34,58.91,55.0,0.0,-3.91
249,10:33:35,58.66,55.0,0.0,-3.66
250,10:33:36,58.45,55.0,0.0,-3.45
251,10:33:37,58.28,55.0,0.0,-3.28
252,10:33:37,58.06,55.0,0.0,-3.06
253,10:33:38,57.84,55.0,0.0,-2.84
254,10:33:39,57.64,55.0,0.0,-2.64
255,10:33:40,57.44,55.0,0.0,-2.44
256,10:33:41,57.26,55.0,0.0,-2.26
257,10:33:42,57.03,55.0,0.0,-2.03
258,10:33:43,56.85,55.0,0.0,-1.85
259,10:33:44,56.65,55.0,0.0,-1.65
260,10:33:45,56.44,55.0,0.0,-1.44
261,10:33:46,56.26,55.0,0.0,-1.26
262,10:33:47,56.06,55.0,0.0,-1.06
263,10:33:48,55.86,55.0,0.0,-0.86
264,10:33:49,55.69,55.0,0.0,-0.69
265,10:33:50,55.49,55.0,0.0,-0.49
266,10:33:51,55.31,55.0,0.0,-0.31
267,10:33:52,55.11,55.0,0.0,-0.11
268,10:33:53,54.94,55.0,0.0,-0.06
269,10:33:54,54.76,55.0,0.08,-0.24
270,10:33:55,54.56,55.0,0.08,-0.44
271,10:33:56,54.39,55.0,0.08,-0.61
272,10:33:57,54.19,55.0,1.0,-0.81
273,10:33:58,54.01,55.0,1.0,-0.99
274,10:33:58,53.86,55.0,1.0,-1.14
275,10:33:59,53.67,55.0,1.0,-1.33
276,10:34:00,53.52,55.0,1.0,-1.48
277,10:34:01,53.38,55.0,1.0,-1.62
278,10:34:02,53.29,55.0,1.0,-1.71
279,10:34:03,53.21,55.0,1.0,-1.79
280,10:34:04,53.13,55.0,1.0,-1.87
281,10:34:05,53.12,55.0,1.0,-1.88
282,10:34:06,53.09,55.0,1.0,-1.91
283,10:34:07,53.13,55.0,1.0,-1.87
284,10:34:08,53.14,55.0,0.35,-1.86
285,10:34:09,53.19,55.0,0.35,-1.81
286,10:34:10,53.26,55.0,0.35,-1.74
287,10:34:11,5.0,55.0,0.35,-50.0
288,10:34:12,53.44,55.0,1.0,-1.56
289,10:34:13,53.56,55.0,0.0,-1.44
290,10:34:14,53.69,55.0,0.35,-1.31
291,10:34:15,53.78,55.0,0.35,-1.22
292,10:34:16,53.9,55.0,0.35,-1.1
293,10:34:17,54.0,55.0,0.35,-1.0
294,10:34:18,54.1,55.0,0.35,-0.9
295,10:34:18,54.22,55.0,0.35,-0.78
296,10:34:19,54.31,55.0,0.35,-0.69
297,10:34:20,54.39,55.0,0.35,-0.61
298,10:34:21,54.53,55.0,0.35,-0.47
299,10:34:22,54.61,55.0,0.08,-0.39
300,10:34:23,54.71,55.0,0.08,-0.29
301,10:34:24,54.8,55.0,0.08,-0.2
302,10:34:25,54.89,55.0,0.08,-0.11
303,10:34:26,54.96,55.0,0.08,-0.04
304,10:34:27,55.04,55.0,0.08,-0.04
305,10:34:28,55.14,55.0,1.0,-0.14
306,10:34:29,55.19,55.0,1.0,-0.19
307,10:34:30,55.24,55.0,1.0,-0.24
308,10:34:31,55.29,55.0,1.0,-0.29
309,10:34:32,55.36,55.0,1.0,-0.36
310,10:34:33,55.45,55.0,1.0,-0.45
311,10:34:34,55.52,55.0,-0.5,-0.52
312,10:34:35,55.59,55.0,-0.5,-0.59
313,10:34:36,55.71,55.0,-0.5,-0.71
314,10:34:37,55.84,55.0,-0.5,-0.84
315,10:34:38,55.99,55.0,-0.5,-0.99
316,10:34:39,56.09,55.0,-0.5,-1.09
317,10:34:39,56.18,55.0,-0.5,-1.18
318,10:34:40,56.28,55.0,-0.5,-1.28
319,10:34:41,56.33,55.0,-0.5,-1.33
320,10:34:42,56.37,72.0,1.0,-15.63
321,10:34:43,56.43,72.0,1.0,-15.57
322,10:34:44,56.49,72.0,1.0,-15.51
323,10:34:45,56.51,72.0,1.0,-15.49
324,10:34:46,56.56,72.0,1.0,-15.44
325,10:34:47,56.57,72.0,1.0,-15.43
326,10:34:48,56.62,72.0,1.0,-15.38
327,10:34:49,56.67,72.0,1.0,-15.33
328,10:34:50,56.77,72.0,1.0,-15.23
329,10:34:51,56.86,72.0,1.0,-15.14
330,10:34:52,56.94,72.0,1.0,-15.06
331,10:34:53,57.08,72.0,1.0,-14.92
332,10:34:54,57.21,72.0,1.0,-14.79
333,10:34:55,57.4,72.0,1.0,-14.6
334,10:34:56,57.58,72.0,1.0,-14.42
335,10:34:57,57.75,72.0,1.0,-14.25
336,10:34:58,57.95,72.0,1.0,-14.05
337,10:34:59,58.16,72.0,1.0,-13.84
338,10:35:00,58.39,72.0,1.0,-13.61
339,10:35:00,58.59,72.0,1.0,-13.41
340,10:35:01,58.84,72.0,1.0,-13.16
341,10:35:02,59.09,72.0,1.0,-12.91
342,10:35:03,59.34,72.0,1.0,-12.66
343,10:35:04,59.63,72.0,1.0,-12.37
344,10:35:05,59.88,72.0,1.0,-12.12
345,10:35:06,60.19,72.0,1.0,-11.81
346,10:35:07,60.48,72.0,1.0,-11.52
