passo,horario,temp_real,setpoint,acao,recompensa
1,05:00:39,22.77,25.0,0.35,-2.23
2,05:00:40,22.75,25.0,0.35,-2.25
3,05:00:41,22.75,25.0,0.35,-2.25
4,05:00:42,22.75,25.0,0.35,-2.25
5,05:00:43,22.76,25.0,0.35,-2.24
6,05:00:44,22.81,25.0,0.35,-2.19
7,05:00:45,22.82,25.0,0.35,-2.18
8,05:00:46,22.84,25.0,0.35,-2.16
9,05:00:47,22.86,25.0,0.35,-2.14
10,05:00:47,22.92,25.0,0.35,-2.08
11,05:00:48,22.98,25.0,0.35,-2.02
12,05:00:49,23.04,25.0,0.35,-1.96
13,05:00:50,23.12,25.0,0.35,-1.88
14,05:00:51,23.19,25.0,0.35,-1.81
15,05:00:52,23.28,25.0,0.35,-1.72
16,05:00:53,23.37,25.0,0.35,-1.63
17,05:00:54,23.47,25.0,0.35,-1.53
18,05:00:55,23.59,25.0,0.35,-1.41
19,05:00:56,23.69,25.0,0.35,-1.31
20,05:00:57,23.82,95.0,0.882,-71.18
21,05:00:58,23.95,95.0,1.0,-71.05
22,05:00:59,24.07,95.0,1.0,-70.93
23,05:01:00,24.23,95.0,1.0,-70.77
24,05:01:01,24.38,95.0,1.0,-70.62
25,05:01:02,24.54,95.0,1.0,-70.46
26,05:01:03,24.72,95.0,1.0,-70.28
27,05:01:04,24.97,95.0,1.0,-70.03
28,05:01:05,25.19,95.0,1.0,-69.81
29,05:01:06,25.44,95.0,1.0,-69.56
30,05:01:07,25.69,95.0,1.0,-69.31
31,05:01:07,25.96,95.0,1.0,-69.04
32,05:01:08,26.29,95.0,1.0,-68.71
33,05:01:09,26.6,95.0,1.0,-68.4
34,05:01:10,26.95,95.0,1.0,-68.05
35,05:01:11,27.27,95.0,1.0,-67.73
36,05:01:12,27.62,95.0,1.0,-67.38
37,05:01:13,27.98,95.0,1.0,-67.02
38,05:01:14,28.34,95.0,1.0,-66.66
39,05:01:15,28.77,95.0,1.0,-66.23
40,05:01:16,29.12,95.0,1.0,-65.88
41,05:01:17,29.52,95.0,1.0,-65.48
42,05:01:18,29.97,95.0,1.0,-65.03
43,05:01:19,30.36,95.0,1.0,-64.64
44,05:01:20,30.84,95.0,1.0,-64.16
45,05:01:21,31.24,95.0,1.0,-63.76
46,05:01:22,31.66,95.0,1.0,-63.34
47,05:01:23,32.16,95.0,1.0,-62.84
48,05:01:24,32.59,95.0,1.0,-62.41
49,05:01:25,33.09,95.0,1.0,-61.91
50,05:01:26,33.53,95.0,1.0,-61.47
51,05:01:27,33.97,95.0,1.0,-61.03
52,05:01:28,34.49,95.0,1.0,-60.51
53,05:01:29,34.97,95.0,1.0,-60.03
54,05:01:29,35.47,95.0,1.0,-59.53
55,05:01:30,35.94,95.0,1.0,-59.06
56,05:01:31,36.41,95.0,1.0,-58.59
57,05:01:32,36.94,95.0,1.0,-58.06
58,05:01:33,37.39,95.0,1.0,-57.61
59,05:01:34,37.89,95.0,1.0,-57.11
60,05:01:35,38.39,95.0,1.0,-56.61
61,05:01:36,38.84,95.0,1.0,-56.16
62,05:01:37,39.39,95.0,1.0,-55.61
63,05:01:38,39.88,95.0,1.0,-55.12
64,05:01:39,40.42,95.0,1.0,-54.58
65,05:01:40,40.91,95.0,1.0,-54.09
66,05:01:41,41.36,95.0,1.0,-53.64
67,05:01:42,41.91,95.0,1.0,-53.09
68,05:01:43,42.39,95.0,1.0,-52.61
69,05:01:44,42.94,95.0,1.0,-52.06
70,05:01:45,43.41,95.0,1.0,-51.59
71,05:01:46,43.87,95.0,1.0,-51.13
72,05:01:47,44.41,95.0,1.0,-50.59
73,05:01:48,44.87,95.0,1.0,-50.13
74,05:01:49,45.41,95.0,1.0,-49.59
75,05:01:49,45.87,95.0,1.0,-49.13
76,05:01:50,46.35,95.0,1.0,-48.65
77,05:01:51,46.9,95.0,1.0,-48.1
78,05:01:52,47.34,95.0,1.0,-47.66
